antecedents,consequents,support,confidence,lift
"frozenset({'plastic wrap', 'plastic sauce cup'})",frozenset({'coffee cup lid'}),0.12857142857142856,0.8181818181818181,1.9749216300940435
"frozenset({'banana peel', 'liquids'})",frozenset({'plastic wrap'}),0.10476190476190476,0.8461538461538461,1.9743589743589745
frozenset({'waxed food paper'}),frozenset({'coffee cup lid'}),0.10476190476190476,0.8148148148148149,1.9667943805874841
"frozenset({'paper bag', 'plastic sauce cup'})",frozenset({'coffee cup lid'}),0.10476190476190476,0.8148148148148149,1.9667943805874841
"frozenset({'napkin', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.10476190476190476,0.8148148148148149,1.9667943805874841
frozenset({'banana peel'}),"frozenset({'napkin', 'coffee cup'})",0.13333333333333333,0.8235294117647058,1.9652406417112298
"frozenset({'paper bag', 'paper bowl'})",frozenset({'coffee cup'}),0.1380952380952381,0.8787878787878789,1.963249516441006
"frozenset({'plastic wrap', 'coffee cup sleeve'})",frozenset({'coffee cup'}),0.1380952380952381,0.8787878787878789,1.963249516441006
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'napkin'})",0.12857142857142856,0.7941176470588234,1.9619377162629754
"frozenset({'plastic lid', 'waxed food paper'})",frozenset({'plastic wrap'}),0.1,0.8400000000000001,1.9600000000000002
frozenset({'banana peel'}),"frozenset({'napkin', 'coffee cup lid'})",0.12380952380952381,0.7647058823529411,1.958393113342898
"frozenset({'banana peel', 'napkin'})",frozenset({'food scraps'}),0.1523809523809524,0.9411764705882353,1.9569015725101921
frozenset({'banana peel'}),frozenset({'food scraps'}),0.1523809523809524,0.9411764705882353,1.9569015725101921
"frozenset({'plastic lid', 'banana peel'})",frozenset({'food scraps'}),0.1523809523809524,0.9411764705882353,1.9569015725101921
"frozenset({'banana peel', 'paper bag'})",frozenset({'coffee cup'}),0.1,0.8750000000000001,1.9547872340425534
"frozenset({'plastic cutlery', 'waxed food paper'})",frozenset({'coffee cup'}),0.1,0.8750000000000001,1.9547872340425534
"frozenset({'plastic lid', 'coffee cup sleeve'})",frozenset({'coffee cup'}),0.2,0.8750000000000001,1.9547872340425534
"frozenset({'plastic cup', 'waxed food paper'})",frozenset({'coffee cup'}),0.1,0.8750000000000001,1.9547872340425534
"frozenset({'banana peel', 'plastic straw'})",frozenset({'food scraps'}),0.14761904761904762,0.9393939393939394,1.9531953195319534
"frozenset({'banana peel', 'plastic cup'})",frozenset({'food scraps'}),0.14761904761904762,0.9393939393939394,1.9531953195319534
"frozenset({'coffee cup', 'plastic bag'})",frozenset({'food scraps'}),0.14285714285714285,0.9374999999999999,1.9492574257425739
"frozenset({'food scraps', 'paper bag'})",frozenset({'coffee cup'}),0.22380952380952382,0.8703703703703705,1.9444444444444446
frozenset({'waxed food paper'}),"frozenset({'napkin', 'coffee cup'})",0.10476190476190476,0.8148148148148149,1.9444444444444446
"frozenset({'plastic wrap', 'paper bag'})",frozenset({'coffee cup lid'}),0.15714285714285714,0.8048780487804877,1.942809083263246
"frozenset({'plastic bag', 'coffee cup lid'})",frozenset({'food scraps'}),0.13333333333333333,0.9333333333333333,1.9405940594059405
frozenset({'banana peel'}),"frozenset({'plastic cutlery', 'plastic straw'})",0.1523809523809524,0.9411764705882353,1.9377162629757785
"frozenset({'coffee cup sleeve', 'plastic bottle'})",frozenset({'coffee cup lid'}),0.11428571428571428,0.8,1.9310344827586208
"frozenset({'plastic cutlery', 'liquids'})",frozenset({'food scraps'}),0.24285714285714285,0.9272727272727272,1.927992799279928
"frozenset({'liquids', 'coffee cup lid'})",frozenset({'food scraps'}),0.18095238095238095,0.9268292682926829,1.9270707558560731
"frozenset({'coffee cup sleeve', 'aluminium can'})",frozenset({'coffee cup'}),0.11904761904761904,0.8620689655172413,1.9258987527512836
frozenset({'coffee cup sleeve'}),"frozenset({'napkin', 'coffee cup'})",0.21904761904761905,0.8070175438596492,1.9258373205741628
"frozenset({'paper bowl', 'liquids'})",frozenset({'food scraps'}),0.11904761904761904,0.9259259259259259,1.9251925192519252
"frozenset({'paper bag', 'plastic sauce cup'})",frozenset({'food scraps'}),0.11904761904761904,0.9259259259259259,1.9251925192519252
"frozenset({'food scraps', 'paper bag'})",frozenset({'coffee cup lid'}),0.20476190476190476,0.7962962962962964,1.922094508301405
frozenset({'liquids'}),"frozenset({'food scraps', 'plastic straw'})",0.23333333333333334,0.7777777777777778,1.9215686274509804
"frozenset({'paper bag', 'plastic bag'})",frozenset({'food box'}),0.12380952380952381,0.896551724137931,1.9211822660098523
"frozenset({'paper bag', 'plastic straw'})",frozenset({'coffee cup'}),0.23333333333333334,0.8596491228070177,1.920492721164614
